#This file maps hg38's rsem gene IDs to gene symbols
#Nir + Michael (Header), March 2015
#Gene RSEM ID	Gene Sybmol	Nir Type
gene36198	RPS11	1
gene22621	CREB3L1	1
gene28166	PNMA1	1
gene18575	LOC101930053	2
gene1071	LOC100533626	1
gene23021	TMEM216	1
gene14270	TRAF3IP2-AS1	2
gene5007	IGKV2-23	4
gene21814	C10orf90	1
gene27104	ERCC5	5
gene11472	GPR98	1
gene9390	APBB2	1
gene40557	KLHL13	1
gene19597	LOC101928408	2
gene15628	LOC102723842	2
gene35932	CADM4	1
gene1110	MIR6500	2
gene10305	SLC10A7	1
gene7771	OR5H5P	1
gene3125	CFHR5	1
gene19741	OR2K2	1
gene408	LOC101927806	1
gene34402	LMAN1	1
gene27361	CHD8	1
gene6211	SUMO1	1
gene37733	MIR941-2	2
gene29254	MIR1233-2	2
gene4784	BOLA3-AS1	2
gene23786	MMP7	1
gene617	MIR1976	2
gene10076	CIR1P2	1
gene34841	XAB2	1
gene37121	LOC102723598	1
gene28112	ADAM21P1	1
gene2053	RNVU1-14	2
gene41312	UTY	1
gene36446	MIR515-2	2
gene13764	CENPQ	1
gene44429	ZBTB12_variant1	1
gene45172	ZBTB12_variant2	1
gene43721	ZBTB12_variant3	1
gene13388	ZBTB12_variant4	1
gene45526	ZBTB12_variant5	1
gene12751	DTNBP1	1
gene1873	gene1873	3
gene37832	MIR3156-3	2
gene30957	ZG16	1
gene16947	PRKAG2-AS1	2
gene11145	MIR582	2
gene41877	gene41877	3
gene1306	MIER1	1
gene18893	ARID3C	1
gene5967	MIR1246	2
gene32181	TRNAS23	3
gene12538	OR2V2	1
gene16010	MIR489	2
gene29570	LOC390586	1
gene7432	GRM2	1
gene29721	MIR4511	2
gene17521	PROSC	1
gene20665	LOC101929475	2
gene9738	CXCL13	1
gene29998	KIAA1199	1
gene8759	EHHADH-AS1	2
gene38920	SYN3	1
gene3447	LINC00210	2
gene14768	SLC22A2	1
gene31927	SERPINF1	1
gene19996	WDR34	1
gene17050	RSL24D1P7	1
gene35159	OR7A17	1
gene37839	POTED	1
gene15366	SUGCT	1
gene13033	TRNAS15	3
gene17811	RFPL4AP2	1
gene4227	EPT1	1
gene36155	LHB	1
gene6739	STK25	1
gene2561	OR10X1	1
gene28717	IGHD2-15_variant1	1
gene42569	IGHD2-15_variant2	1
gene9771	BMP3	1
gene46138	TRNG	1
gene21546	TMEM180	1
gene3810	MAP1LC3C	1
gene6299	CRYGC	1
gene6987	UBE2E2-AS1	1
gene20411	USP6NL	1
gene28182	ABCD4	1
gene12056	gene12056	3
gene2066	CD160	1
gene31323	MT1JP	1
gene19567	NUTM2G	1
gene37263	PHF20	1
gene26017	HNF1A-AS1	2
gene41292	ASS1P6	1
gene10243	RAB33B	1
gene32551	ALDOC	1
gene14914	NUDT1	1
gene20872	FAM170B-AS1	2
gene38217	LOC101930460	1
gene36388	ZNF83	1
gene29821	MIR630	2
gene11662	ARL14EPL	1
gene22222	OR10A2	1
gene2834	SELL	1
gene10777	gene10777	3
gene9402	DCAF4L1	1
gene33248	gene33248	3
gene25203	OR6C1	1
gene34931	LOC100505555	2
gene18899	CCL19	1
gene13569	PPIL1	1
gene1499	GBP7	1
gene37756	LOC102724184	1
gene31906	ABR_variant1	1
gene42880	ABR_variant2	1
gene43962	ABR_variant3	1
gene42405	OR9G1_variant1	1
gene22845	OR9G1_variant2	1
gene21555	LOC102724307	2
gene15387	STK17A	1
gene8961	LOC102723626	1
gene19592	FOXE1	1
gene11983	PCDHA13	1
gene38562	RIMBP3B	1
gene5183	CNGA3	1
gene21647	ZDHHC6	1
gene38833	NEFH	1
gene25340	CTDSP2	1
gene24774	LOC101928705	2
gene35419	ZNF257	1
gene12454	RMND5B	1
gene23886	C11orf88	1
gene19459	ROR2	1
gene12904	TRNAM6	3
gene39693	MAOA	1
gene34247	MIR924	2
gene5477	GYPC	1
gene16838	C7orf33	1
gene2879	MIR3120	2
gene1832	AP4B1-AS1	2
gene441	EMC1	1
gene41092	F8A1	1
gene40155	LOC101928425	1
gene24929	HDAC7	1
gene1755	gene1755	3
gene12881	HIST1H2AD	1
gene32970	EIF1	1
gene21778	CHST15	1
gene20837	GDF10	1
gene623	GPN2	1
gene31355	COQ9	1
gene14583	LOC100131471	1
gene35187	RPL23AP2	1
gene18400	TRAPPC9	1
gene10351	DKFZP434I0714	2
gene5298	GCC2	1
gene32555	KIAA0100	1
gene14748	FNDC1	1
gene2487	PMF1	1
