,chr,start,end,bp_overlap,bed
0,chr1,6444013,6444691,233,CD8
1,chr1,9737666,9738899,354,CD8
2,chr1,20902671,20903107,395,CD8
3,chr1,36603628,36604463,585,CD8
4,chr1,38940609,38941117,391,CD8
5,chr1,40532491,40532965,467,CD8
6,chr1,51505524,51506030,337,CD8
7,chr1,51650623,51651209,569,CD8
8,chr1,52076381,52077046,442,CD8
9,chr1,60833768,60834260,492,CD8
10,chr1,60955911,60956452,275,CD8
11,chr1,60977158,60977697,334,CD8
12,chr1,61047096,61047781,386,CD8
13,chr1,62922100,62922768,364,CD8
14,chr1,64554241,64554511,209,CD8
15,chr1,69559900,69560524,246,CD8
16,chr1,80210309,80210829,455,CD8
17,chr1,80405105,80405515,395,CD8
18,chr1,87690639,87691330,479,CD8
19,chr1,87858725,87859058,333,CD8
20,chr1,89796244,89796740,309,CD8
21,chr1,90371998,90372360,362,CD8
22,chr1,92499626,92500404,307,CD8
23,chr1,95931434,95932381,406,CD8
24,chr1,97551925,97552667,468,CD8
25,chr1,108509028,108509736,454,CD8
26,chr1,120207452,120208314,484,CD8
27,chr1,129138717,129139626,415,CD8
28,chr1,132976409,132976714,305,CD8
29,chr1,132994274,132994671,185,CD8
30,chr1,133100929,133101502,526,CD8
31,chr1,135989421,135990220,379,CD8
32,chr1,137027653,137027944,291,CD8
33,chr1,138475972,138476224,252,CD8
34,chr1,138497276,138497646,240,CD8
35,chr1,139703338,139703676,292,CD8
36,chr1,140032840,140033427,337,CD8
37,chr1,140071687,140072079,329,CD8
38,chr1,140200666,140201387,360,CD8
39,chr1,140835999,140836809,429,CD8
40,chr1,140872516,140872834,291,CD8
41,chr1,143780900,143781407,440,CD8
42,chr1,145853605,145854040,353,CD8
43,chr1,145880542,145880997,442,CD8
44,chr1,145923780,145924245,394,CD8
45,chr1,146202715,146203371,355,CD8
46,chr1,153191159,153191907,561,CD8
47,chr1,154932119,154932844,442,CD8
48,chr1,157882981,157883927,539,CD8
49,chr1,158338002,158338619,441,CD8
50,chr1,158682402,158683390,325,CD8
51,chr1,163600895,163601503,535,CD8
52,chr1,164658058,164658641,352,CD8
53,chr1,166065387,166066530,1143,CD8
54,chr1,166066798,166067088,270,CD8
55,chr1,166864078,166864303,225,CD8
56,chr1,167693541,167694535,289,CD8
57,chr1,167774558,167775856,477,CD8
58,chr1,173177006,173177682,308,CD8
59,chr1,173869270,173869928,424,CD8
60,chr1,173945432,173945918,454,CD8
61,chr1,174443686,174444546,385,CD8
62,chr1,182780545,182781344,488,CD8
63,chr1,186677856,186678124,247,CD8
64,chr1,192886371,192887296,400,CD8
65,chr1,192926563,192927088,525,CD8
66,chr1,193017424,193018279,533,CD8
67,chr1,197067531,197068620,601,CD8
68,chr10,7382343,7383349,264,CD8
69,chr10,7558875,7559910,457,CD8
70,chr10,13713067,13713697,515,CD8
71,chr10,13718670,13719111,441,CD8
72,chr10,19223734,19224539,320,CD8
73,chr10,19297282,19298658,348,CD8
74,chr10,19659146,19659383,237,CD8
75,chr10,21862222,21862795,555,CD8
76,chr10,26045030,26045541,399,CD8
77,chr10,28313338,28314145,372,CD8
78,chr10,40171574,40172179,463,CD8
79,chr10,41657006,41657498,398,CD8
80,chr10,41777077,41777451,374,CD8
81,chr10,43703697,43704053,304,CD8
82,chr10,43717008,43717611,329,CD8
83,chr10,44541276,44542021,474,CD8
84,chr10,53180878,53181535,384,CD8
85,chr10,53341348,53341737,389,CD8
86,chr10,53837527,53838063,411,CD8
87,chr10,58893600,58894067,223,CD8
88,chr10,61968840,61969373,39,CD8
89,chr10,66415967,66416384,288,CD8
90,chr10,67498477,67499673,306,CD8
91,chr10,69595831,69596386,291,CD8
92,chr10,70862072,70862372,279,CD8
93,chr10,74897100,74897691,450,CD8
94,chr10,79689654,79689936,282,CD8
95,chr10,79896328,79897095,767,CD8
96,chr10,80260647,80261695,484,CD8
97,chr10,80568215,80569276,337,CD8
98,chr10,80972991,80973462,471,CD8
99,chr10,81001291,81001634,128,CD8
100,chr10,82447670,82448696,199,CD8
101,chr10,82466983,82467656,393,CD8
102,chr10,89194346,89195401,355,CD8
103,chr10,92533225,92533712,303,CD8
104,chr10,92586829,92587466,440,CD8
105,chr10,92806153,92806407,197,CD8
106,chr10,93610106,93611323,384,CD8
107,chr10,94290773,94291631,491,CD8
108,chr10,95342535,95343184,264,CD8
109,chr10,95863254,95863920,478,CD8
110,chr10,96062161,96062774,154,CD8
111,chr10,96187222,96187929,505,CD8
112,chr10,112365468,112366425,322,CD8
113,chr10,115924104,115924740,321,CD8
114,chr10,117297919,117298405,486,CD8
115,chr10,117355514,117356137,478,CD8
116,chr10,117443890,117444689,398,CD8
117,chr10,117609412,117609943,438,CD8
118,chr10,120705899,120706224,325,CD8
119,chr10,122164289,122164796,395,CD8
120,chr10,127781851,127782413,438,CD8
121,chr10,127941671,127942229,558,CD8
122,chr10,128100756,128101242,134,CD8
123,chr10,129759608,129760172,339,CD8
124,chr11,3092999,3093735,736,CD8
125,chr11,3102137,3102554,360,CD8
126,chr11,4103287,4104025,673,CD8
127,chr11,5197751,5197958,207,CD8
128,chr11,5900068,5900901,377,CD8
129,chr11,6174606,6175186,445,CD8
130,chr11,6428477,6428960,444,CD8
131,chr11,11464183,11464947,542,CD8
132,chr11,11611747,11612084,337,CD8
133,chr11,11625470,11625735,204,CD8
134,chr11,11625798,11626601,132,CD8
135,chr11,20148838,20149804,388,CD8
136,chr11,22592786,22593687,398,CD8
137,chr11,33838756,33840052,611,CD8
138,chr11,43198642,43199145,281,CD8
139,chr11,45758013,45758759,331,CD8
140,chr11,46202848,46203450,498,CD8
141,chr11,49947735,49948052,317,CD8
142,chr11,51076024,51076853,364,CD8
143,chr11,51501991,51502715,419,CD8
144,chr11,52127511,52128161,647,CD8
145,chr11,53520378,53521103,441,CD8
146,chr11,54680314,54680519,205,CD8
147,chr11,58752127,58752587,294,CD8
148,chr11,59021710,59022227,226,CD8
149,chr11,59859422,59860209,378,CD8
150,chr11,63721954,63722384,427,CD8
151,chr11,63850999,63851597,333,CD8
152,chr11,65607943,65608607,374,CD8
153,chr11,68540260,68540553,208,CD8
154,chr11,69179889,69180625,461,CD8
155,chr11,69804446,69804656,210,CD8
156,chr11,69804851,69805191,9,CD8
157,chr11,70042463,70042700,188,CD8
158,chr11,75992687,75993329,116,CD8
159,chr11,76030791,76031315,306,CD8
160,chr11,76292661,76293631,275,CD8
161,chr11,77499215,77499981,387,CD8
162,chr11,78349457,78350124,534,CD8
163,chr11,78364033,78364591,379,CD8
164,chr11,78643750,78644046,237,CD8
165,chr11,79067613,79068417,488,CD8
166,chr11,80196253,80197093,112,CD8
167,chr11,83363579,83364196,493,CD8
168,chr11,84940188,84940717,349,CD8
169,chr11,85267500,85267824,306,CD8
170,chr11,85891305,85892153,320,CD8
171,chr11,86570900,86571897,423,CD8
172,chr11,87565118,87565420,302,CD8
173,chr11,87572279,87572916,219,CD8
174,chr11,87573011,87573399,388,CD8
175,chr11,94861859,94862203,344,CD8
176,chr11,97848921,97849199,278,CD8
177,chr11,98331165,98331833,643,CD8
178,chr11,98341327,98341608,217,CD8
179,chr11,98358695,98359002,307,CD8
180,chr11,98543398,98544139,418,CD8
181,chr11,98966192,98966822,324,CD8
182,chr11,102742155,102742834,261,CD8
183,chr11,105945263,105946005,550,CD8
184,chr11,106549507,106550034,289,CD8
185,chr11,106613418,106613881,364,CD8
186,chr11,106985649,106986152,380,CD8
187,chr11,108772067,108772606,424,CD8
188,chr11,108872958,108873422,464,CD8
189,chr11,109281086,109282227,248,CD8
190,chr11,110260058,110260671,427,CD8
191,chr11,115502348,115502887,539,CD8
192,chr11,117460456,117460827,371,CD8
193,chr12,3109786,3110231,330,CD8
194,chr12,4233741,4234621,628,CD8
195,chr12,4923848,4924434,321,CD8
196,chr12,8666641,8666999,358,CD8
197,chr12,21457094,21457900,428,CD8
198,chr12,25849582,25850014,329,CD8
199,chr12,36882094,36882422,328,CD8
200,chr12,40763320,40765132,698,CD8
201,chr12,40948811,40950321,278,CD8
202,chr12,55394117,55394652,454,CD8
203,chr12,55413899,55414851,521,CD8
204,chr12,66166090,66167115,387,CD8
205,chr12,70462195,70462839,266,CD8
206,chr12,70638634,70639403,325,CD8
207,chr12,71179637,71180251,589,CD8
208,chr12,74699132,74699639,507,CD8
209,chr12,74793331,74793668,337,CD8
210,chr12,74821385,74822072,462,CD8
211,chr12,74880295,74880753,387,CD8
212,chr12,74942858,74943707,369,CD8
213,chr12,77866267,77867047,413,CD8
214,chr12,80291801,80293071,237,CD8
215,chr12,86113647,86114423,478,CD8
216,chr12,86217775,86218099,265,CD8
217,chr12,99453670,99454134,392,CD8
218,chr12,99484975,99485517,460,CD8
219,chr12,99507779,99508844,423,CD8
220,chr12,100871896,100872266,344,CD8
221,chr12,101437659,101439315,314,CD8
222,chr12,102232294,102233283,604,CD8
223,chr12,103912470,103913175,387,CD8
224,chr12,104569403,104570205,582,CD8
225,chr12,109995908,109996511,412,CD8
226,chr12,111975921,111976456,388,CD8
227,chr12,114188479,114189042,310,CD8
228,chr12,114405998,114406876,530,CD8
229,chr12,116229051,116229711,249,CD8
230,chr12,117493105,117493521,416,CD8
231,chr12,119629279,119629748,285,CD8
232,chr12,119666823,119667229,330,CD8
233,chr13,3372179,3372843,445,CD8
234,chr13,5713386,5714399,350,CD8
235,chr13,5844312,5845388,506,CD8
236,chr13,10018538,10018820,266,CD8
237,chr13,13651237,13651641,402,CD8
238,chr13,19274041,19274583,342,CD8
239,chr13,20184073,20184550,477,CD8
240,chr13,23646816,23648368,725,CD8
241,chr13,23830523,23832085,793,CD8
242,chr13,34956415,34956704,289,CD8
243,chr13,36899780,36900248,443,CD8
244,chr13,37629590,37630047,286,CD8
245,chr13,37949320,37950308,269,CD8
246,chr13,41019247,41019694,380,CD8
247,chr13,43870458,43870958,190,CD8
248,chr13,43959770,43960288,398,CD8
249,chr13,46786085,46786586,421,CD8
250,chr13,48973708,48974420,255,CD8
251,chr13,51862878,51864049,875,CD8
252,chr13,52065422,52065871,449,CD8
253,chr13,52816816,52817371,350,CD8
254,chr13,52902990,52903473,467,CD8
255,chr13,53017427,53017687,260,CD8
256,chr13,53078183,53078427,244,CD8
257,chr13,55291415,55292017,556,CD8
258,chr13,55637747,55638391,397,CD8
259,chr13,55738056,55738274,218,CD8
260,chr13,56805068,56805725,525,CD8
261,chr13,58489301,58489714,392,CD8
262,chr13,62981250,62982073,337,CD8
263,chr13,65379471,65380754,357,CD8
264,chr13,67092608,67092882,274,CD8
265,chr13,74776369,74777921,369,CD8
266,chr13,94541010,94542356,544,CD8
267,chr13,95558667,95559346,353,CD8
268,chr13,96757058,96757557,476,CD8
269,chr13,97157953,97158525,322,CD8
270,chr13,99660573,99661286,264,CD8
271,chr13,101500487,101501361,435,CD8
272,chr13,102317791,102318262,372,CD8
273,chr13,102477121,102477779,174,CD8
274,chr13,107736674,107737475,444,CD8
275,chr13,114370067,114370960,507,CD8
276,chr13,114978893,114979475,518,CD8
277,chr13,115635419,115636641,418,CD8
278,chr13,115686013,115686545,390,CD8
279,chr14,14845436,14846212,309,CD8
280,chr14,19653228,19653785,412,CD8
281,chr14,20781721,20782086,253,CD8
282,chr14,21604231,21605012,333,CD8
283,chr14,26336266,26337149,615,CD8
284,chr14,32180902,32181494,259,CD8
285,chr14,49041663,49042199,357,CD8
286,chr14,50682067,50682464,190,CD8
287,chr14,52898608,52899532,325,CD8
288,chr14,54846935,54847614,676,CD8
289,chr14,55196960,55197351,137,CD8
290,chr14,56222681,56223316,441,CD8
291,chr14,57190368,57190918,261,CD8
292,chr14,57396996,57397729,437,CD8
293,chr14,60059280,60060512,369,CD8
294,chr14,63546847,63547426,432,CD8
295,chr14,71520132,71520653,416,CD8
296,chr14,73287622,73287849,218,CD8
297,chr14,76186318,76187212,383,CD8
298,chr14,78260929,78261404,383,CD8
299,chr14,87540256,87541497,601,CD8
300,chr14,121877067,121878045,381,CD8
301,chr14,122314828,122315419,352,CD8
302,chr14,123251209,123252164,396,CD8
303,chr15,5057952,5058954,438,CD8
304,chr15,6451088,6451288,200,CD8
305,chr15,8395315,8396257,334,CD8
306,chr15,25814384,25814737,47,CD8
307,chr15,36645389,36646339,334,CD8
308,chr15,55378763,55379002,239,CD8
309,chr15,58720111,58721162,369,CD8
310,chr15,61260347,61260708,264,CD8
311,chr15,62610527,62610928,357,CD8
312,chr15,64043198,64043427,229,CD8
313,chr15,66339356,66339931,575,CD8
314,chr15,66631328,66631887,285,CD8
315,chr15,74916570,74917525,490,CD8
316,chr15,77563701,77564242,349,CD8
317,chr15,77801076,77801643,258,CD8
318,chr15,78325363,78325915,552,CD8
319,chr15,78754002,78754390,388,CD8
320,chr15,81352508,81353983,536,CD8
321,chr15,81791061,81791692,373,CD8
322,chr15,81846529,81847229,367,CD8
323,chr15,85286369,85287040,250,CD8
