chr,start,end,CD8,Treg_Foxp3_all,oreganno
chr1,6204210,6205596,,,128.0
chr1,6444013,6444691,233.0,,
chr1,7078354,7079550,,,851.0
chr1,9737666,9738899,354.0,,
chr1,13364110,13364799,,,689.0
chr1,13373562,13373855,,293.0,
chr1,13629488,13630088,,600.0,
chr1,16217950,16218628,,,185.0
chr1,16646463,16647601,,,215.0
chr1,20902671,20903107,395.0,,
chr1,24114446,24114646,,,174.0
chr1,30929628,30930087,,,409.0
chr1,30930483,30931071,,,588.0
chr1,33741345,33741681,,,336.0
chr1,33940182,33940737,,555.0,
chr1,36568337,36568908,,,465.0
chr1,36603628,36604463,585.0,,
chr1,37356380,37357202,,,436.0
chr1,38940609,38941117,391.0,,
chr1,39044148,39044875,,,448.0
chr1,39253691,39253903,,212.0,
chr1,39633445,39634011,,,441.0
chr1,39634167,39634599,,,432.0
chr1,39770810,39771171,,361.0,
chr1,39899068,39899926,,858.0,
chr1,40327979,40328251,,272.0,
chr1,40439627,40440118,,491.0,
chr1,40532491,40532965,467.0,474.0,
chr1,40536298,40536703,,405.0,
chr1,43990201,43991058,,,530.0
chr1,46909312,46909932,,,303.0
chr1,46910135,46911398,,,678.0
chr1,46920859,46921567,,708.0,
chr1,46948805,46949188,,383.0,
chr1,51505524,51506030,337.0,,
chr1,51534605,51535633,,,535.0
chr1,51565870,51566306,,,335.0
chr1,51650623,51651209,569.0,,
chr1,52076381,52077046,442.0,665.0,
chr1,52112687,52113080,,385.0,
chr1,52123607,52123816,,209.0,
chr1,52901185,52902282,,,687.0
chr1,53901883,53902493,,610.0,
chr1,54717391,54717991,,600.0,
chr1,55109189,55110007,,,278.0
chr1,58086413,58086700,,,279.5
chr1,58479750,58481182,,,913.0
chr1,58776450,58776665,,,32.0
chr1,60833768,60834260,492.0,,
chr1,60955522,60955858,,336.0,
chr1,60955911,60956452,275.0,541.0,
chr1,60977158,60977697,334.0,,
chr1,61047096,61047781,386.0,,
chr1,61102801,61103453,,652.0,
chr1,61106954,61107510,,556.0,
chr1,62922100,62922768,364.0,,
chr1,63222819,63223922,,,1103.0
chr1,64167902,64169082,,,954.0
chr1,64554241,64554511,209.0,,
chr1,64803036,64804183,,,344.0
chr1,65224709,65225981,,,763.5
chr1,66910320,66910731,,,65.0
chr1,69559900,69560524,246.0,,
chr1,69590781,69591131,,350.0,
chr1,72290237,72291318,,,519.0
chr1,74552117,74553027,,,910.0
chr1,74853079,74853871,,,279.0
chr1,74854729,74855025,,,133.0
chr1,75138010,75138543,,,431.0
chr1,75138786,75139779,,,405.0
chr1,75164947,75165832,,,245.5
chr1,75176521,75177238,,,370.0
chr1,78534948,78535298,,,309.0
chr1,79747646,79749308,,660.0,
chr1,79772383,79773070,,,281.0
chr1,80104402,80104635,,233.0,
chr1,80210309,80210829,455.0,,
chr1,80358523,80358728,,205.0,
chr1,80358856,80359425,,569.0,
chr1,80405105,80405515,395.0,,
chr1,80640485,80640825,,340.0,
chr1,80666883,80667353,,383.0,
chr1,82721228,82722081,,,318.0
chr1,82828928,82829569,,641.0,
chr1,87690639,87691330,479.0,,
chr1,87858725,87859058,333.0,,
chr1,88424516,88425028,,,275.0
chr1,88477058,88477290,,232.0,
chr1,89796244,89796740,309.0,,
chr1,90164250,90164714,,,464.0
chr1,90173322,90174519,,,1115.0
chr1,90175945,90176364,,,308.0
chr1,90185267,90185652,,,327.0
chr1,90371998,90372360,362.0,,
chr1,90483684,90484424,,740.0,
chr1,92499626,92500404,307.0,,
chr1,92954217,92954552,,,313.0
chr1,93309393,93310726,,,270.0
chr1,93947562,93948451,,734.0,
chr1,94015719,94016232,,513.0,
chr1,94830596,94831527,,,757.0
chr1,95931434,95932381,406.0,,
chr1,97551925,97552667,468.0,,
chr1,99665467,99667283,,,515.0
chr1,100027916,100028155,,,239.0
chr1,108457582,108457811,,229.0,
chr1,108457862,108458174,,312.0,
chr1,108466198,108466625,,427.0,
chr1,108497076,108498090,,935.0,
chr1,108509028,108509736,454.0,708.0,
chr1,120207452,120208314,484.0,,
chr1,120355369,120356541,,,589.0
chr1,121969978,121970849,,,254.0
chr1,122017113,122018010,,,128.0
chr1,122018148,122018468,,,91.0
chr1,127364346,127364925,,579.0,
chr1,127415704,127416156,,,452.0
chr1,129129605,129130220,,615.0,
chr1,129138717,129139626,415.0,,
chr1,129193368,129193796,,428.0,
chr1,129241572,129241892,,320.0,
chr1,129245444,129245644,,200.0,
chr1,129765109,129765979,,,229.0
chr1,130683437,130684276,,736.0,
chr1,130727314,130727559,,245.0,
chr1,132889935,132890771,,738.0,
chr1,132919182,132919552,,370.0,
chr1,132976409,132976714,305.0,,
chr1,132977255,132977697,,442.0,
chr1,132986339,132986662,,,323.0
chr1,132994274,132994671,185.0,,
chr1,133007303,133007786,,483.0,
chr1,133049551,133050011,,,372.0
chr1,133080926,133081335,,,212.0
chr1,133100929,133101502,526.0,,
chr1,133534592,133535532,,,20.0
chr1,133903882,133904172,,,290.0
chr1,133907082,133907918,,836.0,
chr1,134052341,134052594,,,253.0
chr1,134054100,134054300,,,200.0
chr1,134373292,134374195,,,371.0
chr1,135961843,135962298,,,455.0
chr1,135975441,135976092,,,391.0
chr1,135989421,135990220,379.0,,271.0
chr1,135995301,135996209,,,541.0
chr1,136258287,136258876,,,205.0
chr1,137027653,137027944,291.0,,
chr1,138421554,138421756,,,171.0
